SID,NAME,ARTIST,dance pop,YEAR,BPM,ENERGY,DANCEABILITY,LOUDNESS,LIVENESS,VALENCE,SPCH ,POP,DURATION,ACTIVITY
1,Turning Page,Sleeping At Last,dance pop,2011,125,38,30,-8,11,19,3,46,255,3
2,Brave,Sara Bareilles,barbadian pop,2013,185,84,55,-4,4,76,5,71,221,3
3,Foolish Games,Jewel,complextro,2013,132,34,51,-11,12,7,3,36,250,5
4,Talk (feat. Disclosure),Khalid,canadian pop,2019,136,20,2,-9,6,35,13,84,198,6
5,Dog Days Are Over,Florence + The Machine,british soul,2010,150,50,25,-5,12,26,7,58,253,4
6,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,canadian pop,2013,126,40,25,-6,13,11,2,74,215,4
7,Team,Lorde,barbadian pop,2014,100,30,25,-7,31,42,8,73,193,4
8,St Jude,Florence + The Machine,canadian pop,2015,117,30,26,-11,11,9,1,47,225,4
9,Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,big room,2016,94,30,14,-6,13,12,1,57,403,4
10,Love,Lana Del Rey,dance pop,2017,99,42,53,-11,11,23,1,72,273,4
11,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,dance pop,2017,135,10,12,-9,20,14,4,67,261,4
12,Lust for Life (with The Weeknd),Lana Del Rey,colombian pop,2017,100,12,12,-9,36,27,7,54,264,4
13,OMG (feat. will.i.am),Usher,dance pop,2010,130,75,78,-6,36,33,3,72,269,5
14,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,canadian pop,2010,120,86,66,-3,8,65,11,52,221,5
15,Castle Walls (feat. Christina Aguilera),T.I.,australian pop,2010,80,86,45,-5,26,58,39,49,329,5
16,Castle Walls (feat. Christina Aguilera),T.I.,complextro,2011,80,86,45,-5,26,58,39,49,329,5
17,Freak,Kelly Rowland,atl hip hop,2013,104,10,65,-5,12,45,6,28,274,5
18,Chandelier,Sia,canadian contemporary r&b,2014,174,10,5,-10,7,62,7,56,216,6
19,Elastic Heart,Sia,barbadian pop,2015,130,79,5,-9,15,50,5,73,257,6
20,Alive,Sia,dance pop,2015,100,20,7,-7,11,44,5,61,264,6
21,Cheap Thrills,Sia,candy pop,2016,90,10,8,-7,8,73,22,64,225,6
22,The Greatest,Sia,dance pop,2017,192,73,1,-9,6,73,27,76,210,6
23,Free Me,Sia,canadian pop,2017,87,20,2,-4,14,21,3,44,286,6
24,Fancy,Iggy Azalea,dance pop,2014,95,72,91,-4,5,38,7,70,200,5
25,Whataya Want from Me,Adam Lambert,dance pop,2010,186,68,44,-5,6,45,5,66,227,5
26,If I Had You,Adam Lambert,brostep,2010,131,91,65,-4,37,79,11,59,228,5
27,Price Tag,Jessie J,boy band,2011,175,83,64,-4,27,68,18,72,223,5
